,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
1213,Mexico,Caturra,6.92,6.67,7.25,7.17,6.92,0.13,No
1216,Guatemala,Other,7.33,6.92,7.58,7.25,7.17,0.12,No
1217,Taiwan,Typica,6.83,7.17,7.25,7.0,6.92,0.1,No
1218,Mexico,Typica,7.0,6.75,7.33,6.92,6.92,0.13,No
1219,Mexico,Typica,7.92,7.58,7.92,7.92,7.5,0.1,No
1221,Mexico,Bourbon,7.25,6.92,6.92,7.25,7.58,0.0,No
1222,Mexico,Typica,7.08,6.83,7.0,7.0,6.92,0.12,No
1223,Mexico,Caturra,7.25,7.0,6.83,7.58,7.08,0.13,No
1225,Mexico,Typica,7.58,7.0,7.17,7.33,7.0,0.14,No
1227,Guatemala,Other,7.17,6.67,7.0,7.17,7.17,0.1,No
1228,Guatemala,Bourbon,7.17,6.5,7.17,7.0,6.83,0.11,No
1229,Mexico,Typica,7.25,7.0,7.5,7.33,7.42,0.13,No
1233,Other,Other,6.92,6.92,6.92,6.92,6.83,0.13,No
1234,Mexico,Typica,7.08,6.67,7.25,7.25,6.92,0.11,No
1235,Taiwan,Other,7.5,7.33,7.17,7.5,7.5,0.0,No
1236,Other,Other,6.83,6.67,7.0,7.0,6.83,0.11,No
1238,Guatemala,Other,7.42,6.83,7.33,7.0,6.92,0.1,No
1239,Other,Typica,7.33,6.92,7.08,7.33,7.0,0.1,No
1240,Guatemala,Bourbon,7.0,6.83,7.17,6.67,6.83,0.11,No
1241,Mexico,Other,7.25,7.0,7.0,7.25,7.08,0.12,No
1243,Other,Caturra,7.5,7.42,7.0,7.08,6.83,0.12,No
1244,Mexico,Typica,7.42,7.0,7.0,7.25,7.08,0.11,No
1248,Guatemala,Bourbon,7.0,6.67,7.17,6.83,6.83,0.11,No
1249,Taiwan,Typica,7.17,6.58,7.33,7.33,7.17,0.11,No
1251,Mexico,Typica,7.17,6.58,6.75,6.83,6.75,0.13,No
1252,Guatemala,Bourbon,7.08,6.33,7.0,6.92,7.0,0.11,No
1253,Brazil,Bourbon,7.5,7.42,7.58,7.58,6.92,0.0,No
1254,Guatemala,Other,7.33,6.83,7.17,7.17,7.17,0.1,No
1255,Mexico,Typica,7.33,6.67,7.0,6.92,6.92,0.15,No
1256,Other,Typica,6.83,6.83,6.75,6.92,6.92,0.1,No
1258,Mexico,Other,7.08,7.0,7.25,7.33,7.25,0.12,No
1259,Other,Caturra,7.42,7.42,7.67,7.92,7.83,0.0,No
1261,Mexico,Typica,6.67,6.42,6.83,7.0,6.92,0.0,No
1263,Mexico,Typica,7.17,6.58,7.0,7.25,6.58,0.13,No
1264,Guatemala,Bourbon,7.5,6.83,7.5,7.17,7.33,0.11,No
1268,Mexico,Typica,7.42,6.83,7.08,6.92,6.83,0.16,No
1269,Other,Other,7.33,6.5,6.08,7.58,6.33,0.12,No
1270,Mexico,Bourbon,7.08,6.83,7.17,7.17,7.08,0.12,No
1271,Other,Other,6.83,6.67,6.83,7.0,6.83,0.11,No
1274,Guatemala,Bourbon,7.92,7.17,7.58,7.33,7.17,0.11,No
1276,Mexico,Other,7.5,6.92,7.0,7.17,6.83,0.11,No
1277,Mexico,Other,7.17,6.67,6.83,7.25,7.75,0.11,No
1278,Mexico,Other,7.25,6.67,7.08,7.17,6.83,0.12,No
1279,Mexico,Typica,7.17,6.83,7.17,7.42,6.67,0.13,No
1280,Mexico,Typica,7.0,6.75,6.92,7.17,6.83,0.14,No
1281,Mexico,Typica,7.08,6.58,7.0,7.0,6.75,0.17,No
1282,Mexico,Typica,7.33,6.67,7.25,7.5,7.0,0.12,No
1285,Mexico,Typica,7.08,6.83,7.5,7.33,6.83,0.12,No
1287,Guatemala,Bourbon,6.5,6.5,7.5,7.33,6.83,0.11,No
1288,Mexico,Typica,7.0,6.67,6.83,7.08,6.83,0.14,No
1289,Mexico,Typica,6.92,6.17,7.33,7.25,6.75,0.13,No
1290,Mexico,Typica,7.67,7.17,7.58,7.33,7.33,0.12,No
1293,Other,Other,7.0,6.83,7.17,7.0,7.17,0.11,No
1294,Mexico,Typica,7.08,6.92,7.08,6.92,6.92,0.0,No
1298,Other,Caturra,6.33,6.33,6.83,6.33,6.5,0.11,No
1299,Mexico,Other,6.92,6.92,6.92,7.17,7.0,0.12,No
1300,Mexico,Bourbon,6.5,6.42,7.17,7.33,6.5,0.11,No
1301,Mexico,Typica,6.92,6.83,6.92,7.42,6.92,0.12,No
1303,Other,Catuai,6.67,6.17,6.67,6.83,6.17,0.1,No
1304,Other,Catuai,7.0,6.17,6.67,6.5,6.17,0.1,No
1305,Other,Catuai,7.0,6.17,6.5,6.67,6.17,0.1,No
1306,Mexico,Bourbon,7.08,6.25,7.42,7.25,6.75,0.11,No
1307,Other,Typica,6.75,6.42,6.67,7.08,6.67,0.14,No
1308,Other,Caturra,7.25,6.33,6.25,6.42,6.08,0.13,No
1309,Guatemala,Catuai,7.5,6.67,7.67,7.33,6.67,0.1,No
1310,Other,Caturra,0.0,0.0,0.0,0.0,0.0,0.12,No
1319,Other,Other,7.67,7.58,7.83,7.83,8.0,0.09,Yes
1322,Other,Other,7.67,7.75,7.5,7.75,7.58,0.11,No
1333,Other,Other,7.92,7.42,7.42,7.42,7.42,0.0,No
